fold,test_patient,model,accuracy,sensitivity,specificity,auc,tp,tn,fp,fn,n_test,accuracy_ci_low,accuracy_ci_high,mcc,fit_time_sec,threshold,n_features_kept
10,chb11,XGB,0.44489164086687305,0.005572755417956657,0.8842105263157894,0.12143200835817461,9,1428,187,1606,3230,0.4278287423399221,0.46208546990844535,-0.2308257091061148,9.08088731765747,0.15,184
11,chb12,RF,0.5164588528678304,0.3820448877805486,0.6508728179551122,0.5402268642607944,766,1305,700,1239,4010,0.5009830549540036,0.5319031456374698,0.03417577697558595,32.53162980079651,0.15,184
11,chb12,SVM,0.6169576059850375,0.5316708229426433,0.7022443890274315,0.659534206876823,1066,1408,597,939,4010,0.6018059708711516,0.6318853636349238,0.23739423783324,1588.8932633399963,0.15,184
11,chb12,XGB,0.542643391521197,0.34114713216957604,0.744139650872818,0.5793874416203879,684,1492,513,1321,4010,0.5271904638579276,0.5580146922199803,0.09318889651236799,8.989990472793579,0.15,184
12,chb13,RF,0.447752808988764,0.0550561797752809,0.8404494382022472,0.3522755965155915,49,748,142,841,1780,0.424788875731844,0.4709417765861643,-0.16881238913932903,32.37848949432373,0.2,184
12,chb13,SVM,0.35898876404494384,0.22808988764044943,0.4898876404494382,0.3180343390985987,203,436,454,687,1780,0.3370290347083451,0.38155584412843047,-0.2922140937845736,1591.8658792972565,0.15,184
12,chb13,XGB,0.45955056179775283,0.056179775280898875,0.8629213483146068,0.4393170054286075,50,768,122,840,1780,0.4365103580311801,0.4827649856988909,-0.13690687288485567,8.930358409881592,0.15,184
13,chb14,RF,0.6473988439306358,0.3786127167630058,0.9161849710982659,0.7999181395970463,131,317,29,215,692,0.6110757307270466,0.682094439035727,0.34961041690576466,32.95656394958496,0.2,184
13,chb14,SVM,0.5520231213872833,0.4479768786127168,0.6560693641618497,0.5553058906077717,155,227,119,191,692,0.5147854028669034,0.5886864217552521,0.10637487884833642,1599.7080347537994,0.15,184
13,chb14,XGB,0.5736994219653179,0.2514450867052023,0.8959537572254336,0.6564953723813024,87,310,36,259,692,0.5365450535885454,0.6100400312928413,0.19277978304575424,8.964989185333252,0.15,184
14,chb15,RF,0.5555694305694305,0.18756243756243757,0.9235764235764236,0.615607294803099,751,3698,306,3253,8008,0.5446619479598028,0.5664236231777992,0.1641719183961997,33.70959758758545,0.15,184
14,chb15,SVM,0.4955044955044955,0.5352147852147852,0.4557942057942058,0.4889363259118503,2143,1825,2179,1861,8008,0.4845584603831861,0.5064548417270305,-0.009019499816221837,1656.3422944545746,0.15,184
14,chb15,XGB,0.5805444555444556,0.2547452547452547,0.9063436563436563,0.611167740850558,1020,3629,375,2984,8008,0.5697001235052199,0.5913115470200685,0.21236030942942388,8.754295349121094,0.1,184
15,chb16,RF,0.4828767123287671,0.0,0.9657534246575342,0.4554559954963408,0,141,5,146,292,0.4261554612643762,0.5400426663823104,-0.13199091933711368,32.64958953857422,0.2,184
15,chb16,SVM,0.589041095890411,0.8698630136986302,0.3082191780821918,0.6502158003377745,127,45,101,19,292,0.5318070927029225,0.6439626435343072,0.21523650802306962,1611.6212735176086,0.15,184
15,chb16,XGB,0.4657534246575342,0.00684931506849315,0.9246575342465754,0.27871082754738224,1,135,11,145,292,0.4093536026056788,0.5230426526876942,-0.17251638983558856,8.87997579574585,0.15,184
16,chb17,RF,0.6256366723259762,0.2546689303904924,0.9966044142614601,0.5667241245124972,150,587,2,439,1178,0.5976332020924187,0.6528233734757454,0.37477122736870444,33.47244715690613,0.2,184
16,chb17,SVM,0.39643463497453313,0.3089983022071307,0.4838709677419355,0.3766995944321617,182,285,304,407,1178,0.368880794068548,0.4246617585036411,-0.2103723453883125,1615.9620769023895,0.15,184
16,chb17,XGB,0.6281833616298812,0.2835314091680815,0.9728353140916808,0.6865453518236141,167,573,16,422,1178,0.6002095865948465,0.6553238114510509,0.35386683526547746,8.860628604888916,0.15,184
17,chb18,RF,0.5671875,0.16875,0.965625,0.7377551269531251,108,618,22,532,1280,0.5398829479421763,0.594089965850304,0.22242205804810483,32.688212633132935,0.2,184
17,chb18,SVM,0.5515625,0.6671875,0.4359375,0.5732299804687501,427,279,361,213,1280,0.5242027769651535,0.5786136452476801,0.10599814753065578,1620.549578666687,0.15,184
17,chb18,XGB,0.5796875,0.1890625,0.9703125,0.6956872558593751,121,621,19,519,1280,0.5524467755442388,0.6064513315119588,0.255319348904097,8.886496782302856,0.15,184
18,chb19,RF,0.5747368421052632,0.15157894736842106,0.9978947368421053,0.5808930747922437,72,474,1,403,950,0.5430595683670006,0.605812110117142,0.28060610917600526,32.6564781665802,0.2,184
18,chb19,SVM,0.6157894736842106,0.7705263157894737,0.4610526315789474,0.6453407202216066,366,219,256,109,950,0.5844508831390129,0.6461953793012079,0.2435345433365326,1632.6660256385803,0.15,184
18,chb19,XGB,0.5505263157894736,0.10947368421052632,0.991578947368421,0.5336465373961219,52,471,4,423,950,0.5187532891021388,0.5818923526899574,0.21452527357157425,8.977344512939453,0.2,184
19,chb20,RF,0.6015100671140939,0.25671140939597314,0.9463087248322147,0.7170960767532993,153,564,32,443,1192,0.5734329235911347,0.6289350154402554,0.280339807531384,33.870017290115356,0.2,184
19,chb20,SVM,0.4035234899328859,0.3540268456375839,0.45302013422818793,0.393428223953876,211,270,326,385,1192,0.3760249342765541,0.431641900528323,-0.19390546418378377,1626.3441944122314,0.15,184
19,chb20,XGB,0.6401006711409396,0.313758389261745,0.9664429530201343,0.7593576865906941,187,576,20,409,1192,0.6124428086326461,0.6668583964767931,0.3698394062224281,8.886084794998169,0.15,184
20,chb22,RF,0.537712895377129,0.0948905109489051,0.9805352798053528,0.7882205291230812,39,403,8,372,822,0.5035323231576943,0.5715426064656137,0.1624283802892963,33.023194551467896,0.2,184
20,chb22,SVM,0.5961070559610706,0.5766423357664233,0.6155717761557178,0.6274767494864463,237,253,158,174,822,0.56219107039252,0.6291289115507487,0.1923599280525305,1402.1003329753876,0.15,184
20,chb22,XGB,0.537712895377129,0.1411192214111922,0.9343065693430657,0.6739185773231273,58,384,27,353,822,0.5035323231576943,0.5715426064656137,0.12385640979870247,6.39007830619812,0.15,184
