fold,test_patient,model,accuracy,sensitivity,specificity,auc,tp,tn,fp,fn,n_test,accuracy_ci_low,accuracy_ci_high,fit_time_sec,threshold,n_features_kept
17,chb18,RF,0.54375,0.1203125,0.9671875,0.69502685546875,77,619,21,563,1280,0.5163728570964127,0.5708653193265977,16.536904096603394,0.2,92
17,chb18,SVM,0.584375,0.4203125,0.7484375,0.5959204101562501,269,479,161,371,1280,0.5571627661700834,0.6110822883600081,566.608900308609,0.2,92
17,chb18,XGB,0.54609375,0.14375,0.9484375,0.55060791015625,92,607,33,548,1280,0.5187211246166241,0.5731905255433334,3.200462818145752,0.2,92
18,chb19,RF,0.5105263157894737,0.04,0.9810526315789474,0.5529795013850415,19,466,9,456,950,0.4787596194304235,0.5422082226095967,16.615609645843506,0.2,92
18,chb19,SVM,0.5547368421052632,0.19789473684210526,0.911578947368421,0.49140387811634345,94,433,42,381,950,0.5229750278238026,0.5860577507843019,577.4855554103851,0.15,92
18,chb19,XGB,0.5189473684210526,0.056842105263157895,0.9810526315789474,0.47787922437673125,27,466,9,448,950,0.4871624515390192,0.550579664133017,3.207502603530884,0.2,92
19,chb20,RF,0.5318791946308725,0.08053691275167785,0.9832214765100671,0.6846158393766048,48,586,10,548,1192,0.5034949501932188,0.560058617436474,16.68174719810486,0.2,92
19,chb20,SVM,0.6350671140939598,0.33221476510067116,0.9379194630872483,0.7465542092698527,198,559,37,398,1192,0.6073440372908276,0.6619223939823444,587.4423019886017,0.25,92
19,chb20,XGB,0.575503355704698,0.17785234899328858,0.9731543624161074,0.6868440610783298,106,580,16,490,1192,0.5472454196776961,0.6032761878663131,3.147184371948242,0.15,92
20,chb22,RF,0.48661800486618007,0.0024330900243309003,0.9708029197080292,0.749187490010123,1,399,12,410,822,0.45259058253497253,0.5207699263083697,16.591398239135742,0.2,92
20,chb22,SVM,0.5060827250608273,0.1873479318734793,0.8248175182481752,0.6061354124117191,77,339,72,334,822,0.4719551106660944,0.5401537489505683,582.5119667053223,0.2,92
20,chb22,XGB,0.4708029197080292,0.004866180048661801,0.9367396593673966,0.5064260808306841,2,385,26,409,822,0.4368948261890712,0.5049826476509484,3.235318422317505,0.15,92
